date,open,high,low,close,volume,increase,increaserate,change,PE,PB,A-index,communicaiton-index,label
2012/5/2,-0.489775123,-0.494790607,-0.461998088,-0.49434855,-0.72775609,0.146762434,0.202840708,-0.749035457,0.714466127,-0.50940145,-1.131161742,-1.083419635,1
2012/4/27,-0.483850051,-0.513336823,-0.511507365,-0.507330751,-0.605163189,-0.52484424,-0.796298519,-0.600893391,0.707186424,-0.521164541,-1.166988737,-1.092185587,0
2012/4/26,-0.425784345,-0.456539036,-0.440262308,-0.463663347,-0.618594271,-0.594803268,-0.879109161,-0.617108859,0.731672697,-0.481577215,-1.160865601,-1.079154422,0
2012/4/25,-0.410379158,-0.441470236,-0.414903898,-0.414094941,-0.768476159,-0.03513104,-0.070370325,-0.798293765,0.759463963,-0.436636175,-1.157126069,-1.068952092,0
2012/4/24,-0.468444864,-0.439151959,-0.442677395,-0.411734541,-0.61071812,0.45458216,0.649113878,-0.607563149,0.760787546,-0.434449447,-1.175403221,-1.073587871,1
2012/4/23,-0.466074835,-0.465812144,-0.451130198,-0.450681145,-0.684385863,0.104787017,0.135410203,-0.696656436,0.738948437,-0.469814124,-1.156443813,-1.065387274,1
2012/4/20,-0.51584544,-0.483199222,-0.487356498,-0.460122746,-0.534580854,0.5525248,0.816657678,-0.515532721,0.733658071,-0.478334825,-1.117673251,-1.049424636,1
2012/4/19,-0.540730742,-0.514495961,-0.507884735,-0.507330751,-0.396689514,0.594500217,0.904060999,-0.34884995,0.707186424,-0.521164541,-1.134628802,-1.060090619,1
2012/4/18,-0.576281175,-0.584044271,-0.558601556,-0.558079357,-0.720931238,0.398614937,0.611268774,-0.740835937,0.678733367,-0.567236647,-1.129591268,-1.067032863,1
2012/4/17,-0.570356103,-0.596794794,-0.571884532,-0.59230516,-0.776228292,-0.258999931,-0.423650633,-0.807655903,0.659545386,-0.598227868,-1.173997946,-1.094746588,0
2012/4/16,-0.550210858,-0.56897547,-0.550148752,-0.571061558,-0.757377352,-0.440893405,-0.695259568,-0.784893057,0.671453664,-0.578999738,-1.146061944,-1.082468824,0
2012/4/13,-0.560875987,-0.560861501,-0.535658232,-0.534475354,-0.523002594,0.342647714,0.514715696,-0.501520109,0.69196919,-0.545821789,-1.142455431,-1.08356685,1
2012/4/12,-0.562061002,-0.594476517,-0.571884532,-0.563980357,-0.515343869,-0.007147428,-0.029997467,-0.492280352,0.675424411,-0.572590362,-1.154766065,-1.094815513,0
