DATE,CLOSE,PREDICT
2012/10/18,9.06,7
2012/10/19,9.19,7
2012/10/22,9.06,7
2012/10/23,9.04,7
2012/10/24,9,7
2012/10/25,9.03,7
2012/10/26,8.95,7
2012/10/29,8.77,7
2012/10/30,8.85,7
2012/10/31,8.71,7
2012/11/1,8.28,6
2012/11/2,8.46,6
2012/11/5,8.47,6
2012/11/6,8.59,7
2012/11/7,8.53,7
2012/11/8,8.56,7
2012/11/9,8.41,6
2012/11/12,8.5,6
2012/11/13,8.65,7
2012/11/14,8.43,6
2012/11/15,8.5,7
2012/11/16,8.25,7
2012/11/19,7.99,6
2012/11/20,8.03,6
2012/11/21,8.04,6
2012/11/22,8.13,6
2012/11/23,8.04,6
2012/11/26,8.11,6
2012/11/27,8.02,6
2012/11/28,7.78,6
2012/11/29,7.8,6
2012/11/30,7.82,6
2012/12/3,7.75,6
2012/12/4,7.64,6
2012/12/5,7.8,6
2012/12/6,8.14,6
2012/12/7,8.18,6
2012/12/10,8.38,6
2012/12/11,8.42,7
2012/12/12,8.31,7
2012/12/13,8.25,6
2012/12/14,8.19,6
2012/12/17,8.6,7
2012/12/18,8.77,7
2012/12/19,8.63,7
2012/12/20,8.62,7
2012/12/21,8.73,7
2012/12/24,8.63,7
2012/12/25,8.59,6
2012/12/26,9.01,7
2012/12/27,9.24,7
2012/12/28,9.13,7
2012/12/31,9.37,7
2013/1/4,9.75,7
2013/1/7,9.72,7
2013/1/8,9.5,6
2013/1/9,9.5,6
2013/1/10,10.24,7
2013/1/11,10.18,7
2013/1/14,9.89,7
2013/1/15,10.32,7
2013/1/16,10.6,7
2013/1/17,10.34,7
2013/1/18,10.15,7
2013/1/21,10.17,7
2013/1/22,10.34,7
2013/1/23,10.31,7
2013/1/24,10.58,8
2013/1/25,10.23,7
2013/1/28,10.23,7
2013/1/29,10.7,7
2013/1/30,10.8,8
2013/1/31,11,8
2013/2/1,10.89,8
2013/2/4,10.9,8
2013/2/5,10.02,7
2013/2/6,10.11,7
2013/2/7,10.11,7
2013/2/8,10.16,7
2013/2/18,10.62,7
2013/2/19,10.8,8
2013/2/20,10.5,7
2013/2/21,10.65,7
2013/2/22,10.56,8
2013/2/25,10.15,7
2013/2/26,9.92,7
2013/2/27,9.52,6
2013/2/28,9.44,6
2013/3/1,9.8,7
2013/3/4,9.91,7
2013/3/5,9.58,6
2013/3/6,9.87,6
2013/3/7,10.86,7
2013/3/8,11.21,8
2013/3/11,11.4,8
2013/3/12,11.77,9
2013/3/13,11.39,8
2013/3/14,11.05,7
2013/3/15,11.93,8
2013/3/18,12.1,9
2013/3/19,12.21,9
2013/3/20,12.25,9
2013/3/21,12.18,9
2013/3/22,12.42,9
2013/3/25,12.02,9
2013/3/26,11.46,8
2013/3/27,11.66,8
2013/3/28,11.57,8
2013/3/29,11.54,8
2013/4/1,11.2,8
2013/4/2,11.35,8
2013/4/3,11.24,8
2013/4/8,11.1,8
2013/4/9,11.28,8
2013/4/10,11.52,8
2013/4/11,11.37,8
2013/4/12,11.42,8
2013/4/15,11,8
2013/4/16,10.56,7
2013/4/17,10.67,8
2013/4/18,10.67,7
2013/4/19,10.71,7
2013/4/22,11.22,8
2013/4/23,11.53,8
2013/4/24,11.07,7
2013/4/25,11.83,9
2013/4/26,11.57,8
2013/5/2,11.34,8
2013/5/3,12.2,9
2013/5/6,12.23,8
2013/5/7,12.87,9
2013/5/8,12.83,9
2013/5/9,12.92,9
2013/5/10,13.28,10
2013/5/13,12.97,9
2013/5/14,13.53,10
2013/5/15,12.88,9
2013/5/16,12.88,9
2013/5/17,13.15,10
2013/5/20,13.33,10
2013/5/21,13.24,10
2013/5/22,12.99,10
2013/5/23,12.77,9
2013/5/24,12.54,9
2013/5/27,12.92,9
2013/5/28,12.63,9
2013/5/29,12.34,9
2013/5/30,12.4,9
2013/5/31,12.22,8
2013/6/3,12.63,9
2013/6/4,12.55,9
2013/6/5,12.3,9
2013/6/6,12.67,9
2013/6/7,12.51,9
2013/6/13,12.09,9
2013/6/14,11.45,8
2013/6/17,11.64,8
2013/6/18,11.83,8
2013/6/19,12.62,9
2013/6/20,12.57,10
2013/6/21,11.93,9
2013/6/24,11.91,9
2013/6/25,11.52,8
2013/6/26,12.48,9
2013/6/27,12.91,9
2013/6/28,12.74,9
2013/7/1,12.75,9
2013/7/2,12.77,9
2013/7/3,13.41,10
2013/7/4,13.7,10
2013/7/5,13.38,10
2013/7/8,13.1,10
2013/7/9,12.81,9
2013/7/10,12.86,9
2013/7/11,13.21,9
2013/7/12,13.66,10
2013/7/15,13.69,10
2013/7/16,13.69,10
2013/7/17,13.69,10
2013/7/18,13.69,10
2013/7/19,13.69,10
2013/7/22,13.69,10
2013/7/23,13.69,9
2013/7/24,15.06,11
2013/7/25,15.8,12
2013/7/26,15.53,12
2013/7/29,15.54,12
2013/7/30,14.95,12
2013/7/31,14.76,11
2013/8/1,15.39,12
2013/8/2,15.55,12
2013/8/5,15.29,12
2013/8/6,15.41,12
2013/8/7,15.63,12
2013/8/8,14.99,11
2013/8/9,15.02,11
2013/8/12,15.44,12
2013/8/13,15.56,12
2013/8/14,15.55,11
2013/8/15,16.07,13
2013/8/16,15.88,13
2013/8/19,15.42,11
2013/8/20,16.96,13
2013/8/21,17.08,14
2013/8/22,16.87,13
2013/8/23,17.03,14
2013/8/26,16.69,12
2013/8/27,17.4,14
2013/8/28,17.2,14
2013/8/29,16.82,13
2013/8/30,16.99,14
2013/9/2,16.4,13
2013/9/3,16.82,13
2013/9/4,17.02,14
2013/9/5,16.81,13
2013/9/6,17.15,14
2013/9/9,17.09,14
2013/9/10,16.92,14
2013/9/11,16.65,14
2013/9/12,15.75,12
2013/9/13,16.02,12
2013/9/16,16.06,12
2013/9/17,16.3,13
2013/9/18,15.92,13
2013/9/23,15.79,11
2013/9/24,16.72,13
2013/9/25,16.78,13
2013/9/26,17.05,14
2013/9/27,16.86,14
2013/9/30,16.53,13
2013/10/8,16.6,12
2013/10/9,18.09,15
2013/10/10,17.81,14
2013/10/11,17.89,14
2013/10/14,17.78,14
2013/10/15,17.63,14
2013/10/16,17.7,15
2013/10/17,16.99,14
2013/10/18,16.85,13
2013/10/21,16.98,13
2013/10/22,17.45,14
2013/10/23,17.15,14
2013/10/24,16,13
2013/10/25,15.72,12
2013/10/28,15.22,12
2013/10/29,15.36,12
2013/10/30,14.98,11
2013/10/31,15.1,12
2013/11/1,15.18,12
2013/11/4,15.2,11
2013/11/5,15.7,12
2013/11/6,15.91,13
2013/11/7,15.58,12
2013/11/8,15.42,12
2013/11/11,14.83,11
2013/11/12,14.79,11
2013/11/13,15,12
2013/11/14,14.49,11
2013/11/15,14.68,11
2013/11/18,15.27,11
2013/11/19,15.88,12
2013/11/20,15.83,12
2013/11/21,16.35,12
2013/11/22,16.73,13
2013/11/25,16.31,13
2013/11/26,15.83,12
2013/11/27,16,12
2013/11/28,16.53,13
2013/11/29,16.27,13
2013/12/2,16.3,13
2013/12/3,15.71,11
2013/12/4,16.47,12
2013/12/5,16.81,14
2013/12/6,15.81,12
2013/12/9,15.24,12
2013/12/10,15.2,12
2013/12/11,15.28,12
2013/12/12,14.93,11
2013/12/13,15.06,12
2013/12/16,14.91,12
2013/12/17,14.45,11
2013/12/18,14.47,11
2013/12/19,14.4,11
2013/12/20,14.48,11
2013/12/23,14.07,11
2013/12/24,13.72,10
2013/12/25,13.94,10
2013/12/26,13.93,11
2013/12/27,13.03,9
2013/12/30,13.1,9
2013/12/31,13.23,10
2014/1/2,13.07,11
2014/1/3,13.8,12
2014/1/6,14.07,13
2014/1/7,13.63,13
2014/1/8,13.37,12
2014/1/9,13.41,12
2014/1/10,13.42,12
2014/1/13,13.1,12
2014/1/14,12.46,11
2014/1/15,12.46,11
2014/1/16,12.36,10
2014/1/17,12.85,12
2014/1/20,12.59,11
2014/1/21,12.25,10
2014/1/22,12.78,11
2014/1/23,13.21,12
2014/1/24,13.24,12
2014/1/27,13.54,12
2014/1/28,13.54,12
2014/1/29,13.6,12
2014/1/30,13.5,12
2014/2/7,13.27,12
2014/2/10,13.67,12
2014/2/11,14.03,13
2014/2/12,13.87,13
2014/2/13,14,13
2014/2/14,13.57,12
2014/2/17,13.5,11
2014/2/18,14.35,13
2014/2/19,14.23,13
2014/2/20,14.25,13
2014/2/21,13.91,13
2014/2/24,13.79,13
2014/2/25,13.51,12
2014/2/26,13.09,12
2014/2/27,13,12
2014/2/28,12.83,11
2014/3/3,13.15,11
2014/3/4,13.46,12
2014/3/5,13.71,13
2014/3/6,13.33,12
2014/3/7,13.37,12
2014/3/10,13.1,12
2014/3/11,12.4,11
2014/3/12,12.31,11
2014/3/13,12.27,11
2014/3/14,12.26,11
2014/3/17,12.09,10
2014/3/18,12.5,11
2014/3/19,12.4,11
2014/3/20,12.58,11
2014/3/21,12.58,11
2014/3/24,13.04,12
2014/3/25,12.97,12
2014/3/26,12.92,12
2014/3/27,12.78,12
2014/3/28,12.42,11
2014/3/31,12.49,11
2014/4/1,12.64,11
2014/4/2,13.14,12
2014/4/3,13.18,12
2014/4/4,12.89,11
2014/4/8,12.92,11
2014/4/9,13.06,11
2014/4/10,13.4,12
2014/4/11,13.43,12
2014/4/14,13.84,13
2014/4/15,13.71,12
2014/4/16,13.68,13
2014/4/17,13.45,12
2014/4/18,13.48,12
2014/4/21,13.59,12
2014/4/22,13.32,12
2014/4/23,13.68,13
2014/4/24,13.47,12
2014/4/25,13.15,12
2014/4/28,12.86,11
2014/4/29,12.9,11
2014/4/30,13.28,12
2014/5/5,13.18,12
2014/5/6,13.07,12
2014/5/7,13.16,12
2014/5/8,12.91,12
2014/5/9,12.6,11
2014/5/12,12.64,11
2014/5/13,12.96,12
2014/5/14,13.01,12
2014/5/15,12.92,12
2014/5/16,12.56,11
2014/5/19,12.53,11
2014/5/20,12.3,11
2014/5/21,12.32,11
2014/5/22,12.53,11
2014/5/23,12.43,11
2014/5/26,12.68,11
2014/5/27,12.72,11
2014/5/28,12.63,11
2014/5/29,13.18,12
2014/5/30,13,11
2014/6/3,13.15,12
2014/6/4,13.03,12
2014/6/5,12.87,11
2014/6/6,13.08,12
2014/6/9,12.89,12
2014/6/10,12.6,11
2014/6/11,12.91,11
2014/6/12,13.08,12
2014/6/13,13,11
2014/6/16,13.12,11
2014/6/17,13.38,12
2014/6/18,13.22,12
2014/6/19,13.1,12
2014/6/20,12.74,11
2014/6/23,12.78,11
2014/6/24,12.76,11
2014/6/25,12.83,11
2014/6/26,12.83,11
2014/6/27,12.95,11
2014/6/30,13.06,12
2014/7/1,13.12,12
2014/7/2,13.23,12
2014/7/3,13.22,12
2014/7/4,13.22,12
2014/7/7,13.13,12
2014/7/8,13.22,12
2014/7/9,13.26,12
2014/7/10,13,12
2014/7/11,12.8,11
2014/7/14,12.9,11
2014/7/15,13.03,11
2014/7/16,13.5,12
2014/7/17,13.42,12
2014/7/18,13.49,12
2014/7/21,13.41,12
2014/7/22,13.2,12
2014/7/23,13.37,12
2014/7/24,13.18,12
2014/7/25,13.36,12
2014/7/28,13.51,12
2014/7/29,13.7,12
2014/7/30,13.87,13
2014/7/31,13.78,12
2014/8/1,13.87,13
2014/8/4,13.58,12
2014/8/5,13.85,12
2014/8/6,14.03,13
2014/8/7,14,13
2014/8/8,13.92,13
2014/8/11,14.06,13
2014/8/12,14.14,13
2014/8/13,13.99,13
2014/8/14,14.11,13
2014/8/15,13.86,12
2014/8/18,13.97,12
2014/8/19,14.18,13
2014/8/20,14.32,13
2014/8/21,14.4,13
2014/8/22,14.32,13
2014/8/25,14.32,13
2014/8/26,14.07,13
2014/8/27,13.87,13
2014/8/28,13.92,13
2014/8/29,13.79,12
2014/9/1,13.96,12
2014/9/2,14.17,13
2014/9/3,14.36,13
2014/9/4,14.33,13
2014/9/5,14.39,13
2014/9/9,14.33,13
2014/9/10,14.3,13
2014/9/11,14.58,13
2014/9/12,14.38,13
2014/9/15,14.44,13
2014/9/16,14.42,13
2014/9/17,13.91,12
2014/9/18,14.08,13
2014/9/19,14.24,12
2014/9/22,14.66,13
2014/9/23,14.84,14
2014/9/24,14.86,14
2014/9/25,14.99,14
2014/9/26,14.74,13
2014/9/29,14.9,13
2014/9/30,15.26,14
2014/10/8,15.16,14
2014/10/9,15.16,14
2014/10/10,15.4,15
2014/10/13,15.15,14
2014/10/14,14.97,14
2014/10/15,14.9,14
2014/10/16,15,14
2014/10/17,14.75,14
2014/10/20,14.64,13
2014/10/21,14.83,14
2014/10/22,14.51,13
2014/10/23,14.53,13
2014/10/24,14.57,13
2014/10/27,14.69,13
2014/10/28,14.74,13
2014/10/29,15,14
2014/10/30,15.03,14
2014/10/31,14.99,14
2014/11/3,15.2,14
2014/11/4,15.05,14
2014/11/5,14.96,13
2014/11/6,15.22,14
2014/11/7,15.13,14
2014/11/10,14.83,13
2014/11/11,15.12,14
2014/11/12,14.86,14
2014/11/13,14.9,14
2014/11/14,14.71,13
2014/11/17,14.8,14
2014/11/18,14.85,14
2014/11/19,14.88,13
2014/11/20,15.19,14
2014/11/21,14.97,14
2014/11/24,14.99,14
2014/11/25,15.11,13
2014/11/26,15.6,15
2014/11/27,15.48,14
2014/11/28,15.49,14
2014/12/1,15.68,15
2014/12/2,15.43,14
2014/12/3,15.52,14
2014/12/4,16.14,15
2014/12/5,16.36,16
2014/12/8,16.17,14
2014/12/9,17.35,18
2014/12/10,16.99,16
2014/12/11,17.91,18
2014/12/12,17.49,17
2014/12/15,17.33,17
2014/12/16,17.36,17
2014/12/17,17.36,16
2014/12/18,19.1,20
2014/12/19,18.81,19
2014/12/22,18.81,20
2014/12/23,18.31,19
2014/12/24,18.08,19
2014/12/25,17.68,17
2014/12/26,18.42,19
2014/12/29,18.37,19
2014/12/30,18.29,19
2014/12/31,18.2,19
2015/1/5,18.06,16
2015/1/6,19.01,17
2015/1/7,20.11,20
2015/1/8,19.71,18
2015/1/9,19.99,19
2015/1/12,19.55,19
2015/1/13,19.14,18
2015/1/14,19.21,18
2015/1/15,19.17,17
2015/1/16,19.65,18
2015/1/19,19.77,20
2015/1/20,18,15
2015/1/21,19.08,17
2015/1/22,19.68,19
2015/1/23,19.71,19
