y	y_pred
14.48	11
14.07	11
13.72	10
13.94	10
13.93	11
13.03	9
13.1	9
13.23	10
13.07	11
13.8	12
14.07	13
13.63	13
13.37	12
13.41	12
13.42	12
13.1	12
12.46	11
12.46	11
12.36	10
12.85	12
12.59	11
12.25	10
12.78	11
13.21	12
13.24	12
13.54	12
13.54	12
13.6	12
13.5	12
13.27	12
13.67	12
14.03	13
13.87	13
14	13
13.57	12
13.5	11
14.35	13
14.23	13
14.25	13
13.91	13
13.79	13
13.51	12
13.09	12
13	12
12.83	11
13.15	11
13.46	12
13.71	13
13.33	12
13.37	12
13.1	12
12.4	11
12.31	11
12.27	11
12.26	11
12.09	10
12.5	11
12.4	11
12.58	11
12.58	11
13.04	12
12.97	12
12.92	12
12.78	12
12.42	11
12.49	11
12.64	11
13.14	12
13.18	12
12.89	11
12.92	11
13.06	11
13.4	12
13.43	12
13.84	13
13.71	12
13.68	13
13.45	12
13.48	12
13.59	12
13.32	12
13.68	13
13.47	12
13.15	12
12.86	11
12.9	11
13.28	12
13.18	12
13.07	12
13.16	12
12.91	12
12.6	11
12.64	11
12.96	12
13.01	12
12.92	12
12.56	11
12.53	11
12.3	11
12.32	11
12.53	11
12.43	11
12.68	11
12.72	11
12.63	11
13.18	12
13	11
13.15	12
13.03	12
12.87	11
13.08	12
12.89	12
12.6	11
12.91	11
13.08	12
13	11
13.12	11
13.38	12
13.22	12
13.1	12
12.74	11
12.78	11
12.76	11
12.83	11
12.83	11
12.95	11
13.06	12
13.12	12
13.23	12
13.22	12
13.22	12
13.13	12
13.22	12
13.26	12
13	12
12.8	11
12.9	11
13.03	11
13.5	12
13.42	12
13.49	12
13.41	12
13.2	12
13.37	12
13.18	12
13.36	12
13.51	12
13.7	12
13.87	13
13.78	12
13.87	13
13.58	12
13.85	12
14.03	13
14	13
13.92	13
14.06	13
14.14	13
13.99	13
14.11	13
13.86	12
13.97	12
14.18	13
14.32	13
14.4	13
14.32	13
14.32	13
14.07	13
13.87	13
13.92	13
13.79	12
13.96	12
14.17	13
14.36	13
14.33	13
14.39	13
14.33	13
14.3	13
14.58	13
14.38	13
14.44	13
14.42	13
13.91	12
14.08	13
14.24	12
14.66	13
14.84	14
14.86	14
14.99	14
14.74	13
14.9	13
15.26	14
15.16	14
15.16	14
15.4	15
15.15	14
14.97	14
14.9	14
15	14
14.75	14
14.64	13
14.83	14
14.51	13
14.53	13
14.57	13
14.69	13
14.74	13
15	14
15.03	14
14.99	14
15.2	14
15.05	14
14.96	13
15.22	14
15.13	14
14.83	13
15.12	14
14.86	14
14.9	14
14.71	13
14.8	14
14.85	14
14.88	13
15.19	14
14.97	14
14.99	14
15.11	13
15.6	15
15.48	14
15.49	14
15.68	15
15.43	14
15.52	14
16.14	15
16.36	16
16.17	14
17.35	18
